Replica,Seed,TotalRequests,TotalSuitcases,Delivered,Undelivered,LateSuitcases,TotalDelay,CapacityOverflow,WarehouseOverflow,Fitness,Semaphore,IterationsRun,Improvements,ExecutionTime
1,1,63827,116130,116130,0,0,0.00,0,0,0.00,GREEN,2000,2000,269381
2,2,63827,116130,116130,0,0,0.00,0,0,0.00,GREEN,2000,2000,276577
3,3,63827,116130,116130,0,0,0.00,0,33,16500.00,GREEN,2000,2000,275818
4,4,63827,116130,116130,0,0,0.00,0,11,5500.00,GREEN,2000,2000,278762
5,5,63827,116130,116130,0,0,0.00,0,5,2500.00,GREEN,2000,2000,285055
6,6,63827,116130,116130,0,0,0.00,0,3,1500.00,GREEN,2000,2000,284362
7,7,63827,116130,116130,0,0,0.00,0,0,0.00,GREEN,2000,2000,295569
8,8,63827,116130,116130,0,0,0.00,0,6,3000.00,GREEN,2000,2000,296112
9,9,63827,116130,116130,0,0,0.00,0,0,0.00,GREEN,2000,2000,295193
10,10,63827,116130,116130,0,0,0.00,0,18,9000.00,GREEN,2000,2000,296576
11,11,63827,116130,116130,0,0,0.00,0,4,2000.00,GREEN,2000,2000,296206
12,12,63827,116130,116130,0,0,0.00,0,26,13000.00,GREEN,2000,2000,294578
13,13,63827,116130,116130,0,0,0.00,0,2,1000.00,GREEN,2000,2000,288452
14,14,63827,116130,116130,0,0,0.00,0,19,9500.00,GREEN,2000,2000,282528
15,15,63827,116130,116130,0,0,0.00,0,0,0.00,GREEN,2000,2000,280825
16,16,63827,116130,116130,0,0,0.00,0,53,26500.00,GREEN,2000,2000,276382
17,17,63827,116130,116130,0,0,0.00,0,18,9000.00,GREEN,2000,2000,293802
18,18,63827,116130,116130,0,0,0.00,0,6,3000.00,GREEN,2000,2000,288661
19,19,63827,116130,116130,0,0,0.00,0,20,10000.00,GREEN,2000,2000,288783
20,20,63827,116130,116130,0,0,0.00,0,12,6000.00,GREEN,2000,2000,287612
21,21,63827,116130,116130,0,0,0.00,0,8,4000.00,GREEN,2000,2000,291528
22,22,63827,116130,116130,0,0,0.00,0,21,10500.00,GREEN,2000,2000,292733
23,23,63827,116130,116130,0,0,0.00,0,3,1500.00,GREEN,2000,2000,282439
24,24,63827,116130,116130,0,0,0.00,0,5,2500.00,GREEN,2000,2000,277537
25,25,63827,116130,116130,0,0,0.00,0,0,0.00,GREEN,2000,2000,281239
26,26,63827,116130,116130,0,0,0.00,0,20,10000.00,GREEN,2000,2000,269106
27,27,63827,116130,116130,0,0,0.00,0,15,7500.00,GREEN,2000,2000,268733
28,28,63827,116130,116130,0,0,0.00,0,35,17500.00,GREEN,2000,2000,268235
29,29,63827,116130,116130,0,0,0.00,0,33,16500.00,GREEN,2000,2000,277124
30,30,63827,116130,116130,0,0,0.00,0,0,0.00,GREEN,2000,2000,278002
